setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,Mole fraction of 2-aminoethan-1-ol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rHWwK,303.15,0.4936,0.0493,101,1172.9,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,303.15,0.5899,0.275,101,1168.5,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,303.15,0.59,0.3533,101,1164.5,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,303.15,0.5903,0.1966,101,1172.4,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,303.15,0.5907,0.118,101,1176.3,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,303.15,0.5908,0.0394,101,1180,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,303.15,0.6867,0.2648,101,1174.6,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,303.15,0.6871,0.2059,101,1177.5,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,303.15,0.6876,0.0295,101,1185.7,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
rHWwK,303.15,0.6877,0.0883,101,1183,Yin et al. (2016),Density,Liquid,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
