setid,reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3,Unnamed: 13
SBATB,Zhang et al. (2016f),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,,,,
YpAdu,Ziyada and Wilfred (2014a),Refractive index,Liquid,ABlHKS,CCCCCCCCCC[n+]1ccn(CCC#N)c1.O=C([O-])c1cccc(S(=O)(=O)O)c1,3-(2-cyanoethyl)-1-decylimidazolium 3-sulfobenzoate,,,,,,,
PVtSc,Ziyada and Wilfred (2014a),Refractive index,Liquid,ABKxTI,CCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-propanenitrile imidazolium trifluoromethanesulfonate,,,,,,,
SYEpQ,Ziyada and Wilfred (2014a),Refractive index,Liquid,ABMaCK,CCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])c1ccccc1,1-butyl-3-(2-cyanoethyl)-1H-imidazolium benzenesulfonate,,,,,,,
KRxhY,Ziyada and Wilfred (2014a),Refractive index,Liquid,ABhQBP,CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCn1cc[n+](CCC#N)c1,1-butyl-3-(2-cyanoethyl)-1H-imidazol-3-ium dodecyl sulfate,,,,,,,
YQryq,Ziyada and Wilfred (2014a),Refractive index,Liquid,ACLSGv,CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-].CCCCn1cc[n+](CCC#N)c1,1-butyl-3-propanenitrile imidazolium dioctysulfosuccinate,,,,,,,
LYKBu,Ziyada and Wilfred (2014a),Refractive index,Liquid,ABxaQk,CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCCCC[n+]1ccn(CCC#N)c1,3-(2-cyanoethyl)-1-decylimidazolium dodecylsulfate,,,,,,,
WygUd,Ziyada and Wilfred (2014a),Refractive index,Liquid,ACbbYQ,CCCCCCCCCCn1cc[n+](CCC#N)c1.CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-],1-decyl-3-propanenitrile imidazolium dioctysulfosuccinate,,,,,,,
gUjyF,Ziyada and Wilfred (2014b),Refractive index,Liquid,ABVmNY,CCCCCCCCn1cc[n+](CCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(2-cyanoethyl)-1-octyl-1H-imidazol-3-ium trifluoromethanesulfonate,,,,,,,
qZIFe,Ziyada and Wilfred (2014b),Refractive index,Liquid,ABXPPM,CCCCCCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])c1ccccc1,3-(2-cyanoethyl)-1-octylimidazolium benzenesulfonate,,,,,,,
HJzRO,Ziyada and Wilfred (2014b),Refractive index,Liquid,ABmlSu,CCCCCCCCCCOS(=O)(=O)[O-].CCCCCCCC[n+]1ccn(CCC#N)c1,3-(2-cyanoethyl)-1-octylimidazolium decylsulfate,,,,,,,
TIkDA,Ziyada and Wilfred (2014b),Refractive index,Liquid,ABfnPA,CCCCCCCCn1cc[n+](CCC#N)c1.O=C([O-])c1cccc(S(=O)(=O)O)c1,3-(2-cyanoethyl)-1-octyl-1H-imidazol-3-ium 3-sulfobenzoate,,,,,,,
aGeVH,Ziyada and Wilfred (2018),Refractive index,Liquid,ACMCpB,CCCCCCCCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Cl-],trioctyltetradecylphosphonium chloride,,,,,,,
iTtKG,Ziyada et al. (2010),Refractive index,Liquid,AAxhfS,CCCC[n+]1ccn(CCC#N)c1.[Br-],1-butyl-3-(2-cyanoethyl)-1H-imidazolium bromide,,,,,,,
OIVJQ,Ziyada et al. (2010),Refractive index,Liquid,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,,,,,
KwSby,Ziyada et al. (2010),Refractive index,Liquid,ABIWSW,CCCCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-octyl-1H-imidazolium bromide,,,,,,,
clDjf,Ziyada et al. (2011),Refractive index,Liquid,ABmlzD,CCCCCCCCCCCCOS(=O)(=O)[O-].CCCCCC[n+]1ccn(CCC#N)c1,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium dodecyl sulfate,,,,,,,
uupvb,Ziyada et al. (2011),Refractive index,Liquid,ABRuqJ,CCCCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])c1ccccc1,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium benzenesulfonate,,,,,,,
nGaZS,Ziyada et al. (2011),Refractive index,Liquid,ABaSUw,CCCCCC[n+]1ccn(CCC#N)c1.O=C([O-])c1cccc(S(=O)(=O)O)c1,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium 3-sulfobenzoate,,,,,,,
mDtXI,Ziyada et al. (2011),Refractive index,Liquid,ACQmTR,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].CCCCCC[n+]1ccn(CCC#N)c1,"1-(2-cyanoethyl)-3-hexyl-1H-imidazol-3-ium 1,4-bis((2-ethylhexyl)oxy)-1,4-dioxobutane-2-sulfonate",,,,,,,
LLJaV,Ziyada et al. (2011),Refractive index,Liquid,ABQRyC,CCCCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium trifluoromethanesulfonate,,,,,,,
sVxxM,Ziyada et al. (2012),Refractive index,Liquid,AAuZjn,CCCCCCn1cc[n+](CCC#N)c1.[Cl-],3-(2-cyanoethyl)-1-hexyl-1H-imidazol-3-ium chloride,,,,,,,
Pcpix,Ziyada et al. (2012),Refractive index,Liquid,AApFNR,CCCC[n+]1ccn(CCC#N)c1.[Cl-],3-butyl-1-(2-cyanoethyl)-1H-imidazol-3-ium chloride,,,,,,,
vqOAG,Ziyada et al. (2012),Refractive index,Liquid,AAzuzx,CCCCCCCCn1cc[n+](CCC#N)c1.[Cl-],3-(2-cyanoethyl)-1-octyl-1H-imidazol-3-ium chloride,,,,,,,
ZuXFn,de Castro et al. (2021),Refractive index,Liquid,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,,
NWRdD,Anantharaj and Banerjee (2011),Refractive index,Liquid,AAWvhn,c1ccc2c(c1)CCN2,indoline,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,,
NcMxy,Anantharaj and Banerjee (2011),Refractive index,Liquid,AADYJk,O,water,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,,
wyMoH,Anantharaj and Banerjee (2011),Refractive index,Liquid,AAYrly,c1ccc2ncccc2c1,quinoline,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,,
NZJND,Anantharaj and Banerjee (2013),Refractive index,Liquid,AAMuTE,c1cc[nH]c1,pyrrole,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,,
Ydgzr,Anantharaj and Banerjee (2013),Refractive index,Liquid,AAPLMm,c1ccncc1,pyridine,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,,
Eurgq,Anantharaj and Banerjee (2013),Refractive index,Liquid,AADYJk,O,water,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,,
fsLAr,Anantharaj and Banerjee (2013),Refractive index,Liquid,AAWvhn,c1ccc2c(c1)CCN2,indoline,AAniqB,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium methanesulfonate,,,,
nRvRA,Aparicio et al. (2010),Refractive index,Liquid,AAmaWV,CCn1cc[n+](C)c1.C[C@H](O)C(=O)[O-],3-ethyl-1-methylimidazolium (S)-2-hydroxypropanoate,,,,,,,
UJMWc,Balaraman and Rathnasamy (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AALwIY,OCCO,"1,2-ethanediol",,,,
JKcal,Balaraman and Rathnasamy (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARkmK,OCC(O)CO,glycerol,,,,
EZEDa,Balaraman and Rathnasamy (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AAWlvM,OCCCCCCO,"1,6-hexanediol",,,,
sQcDE,Balaraman and Rathnasamy (2019),Refractive index,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AARRxF,CCC(O)CO,"1,2-butanediol",,,,
fCDUv,Bansal et al. (2014),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,,
cenEL,Bogolitsyn et al. (2009),Refractive index,Liquid,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate,,,,,,,
gKzmE,Capelo et al. (2012),Refractive index,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,,,,,
ShvKq,Capelo et al. (2012),Refractive index,Liquid,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,,,,,
kkwbD,Carreira et al. (2021),Refractive index,Liquid,AAzfRH,C[N+](C)(C)CCO.N[C@H](Cc1ccccc1)C(=O)[O-],cholinium D-phenylalaninate,,,,,,,
Dnenv,Carreira et al. (2021),Refractive index,Liquid,ABQdUO,CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[C@@H]1CCCN1,tetrabutylammonium L-prolinate,,,,,,,
ynfes,Castro et al. (2014),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,,,,
yULkD,Castro et al. (2016a),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,,,,
bLCRy,Chaudhary et al. (2014b),Refractive index,Liquid,AAlIwx,C[C@H](O)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,,,,,
nJXok,Costa et al. (2020),Refractive index,Liquid,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,,,,,
TCxXk,Costa et al. (2020),Refractive index,Liquid,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,,
bXQvb,Costa et al. (2020),Refractive index,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,,,,,,,
XTPAS,Costa et al. (2020),Refractive index,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,,
qVsPT,Costa et al. (2020),Refractive index,Liquid,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,,
RoWJI,Costa et al. (2020),Refractive index,Liquid,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,,
yYeuj,Dzida et al. (2019),Refractive index,Liquid,ABhYBm,CCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexylpyridinium bis(trifluromethylsulfonyl)imide,,,,,,,
tVabk,Fang et al. (2022),Refractive index,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,,,,,,,
SIqZT,Fang et al. (2022),Refractive index,Liquid,ABdfoj,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,,,,,,,
WaLIC,Fang et al. (2022),Refractive index,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,,,,,,,
mOlln,Freire et al. (2011),Refractive index,Liquid,AAtWRk,CC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-ethyl-3-methylimidazolium dimethylphosphate,,,,,,,
tpcyI,Hazrati et al. (2017),Refractive index,Metastable liquid,ACDgYF,CCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-tetradecyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,,
AxeFu,Ijardar and Malek (2014),Refractive index,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,,,,
kAQBs,Ijardar and Malek (2014),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,,,,
rCeLx,Khan et al. (2017a),Refractive index,Liquid,AAqIsO,N#CCCn1cc[nH+]c1.O=S(=O)([O-])O,1-(2-cyanoethyl)imidazolium hydrogen sulfate,,,,,,,
pkQjB,Khan et al. (2017a),Refractive index,Liquid,AAihdr,Cn1cc[nH+]c1.O=S(=O)([O-])O,1-methylimidazolium hydrogen sulfate,,,,,,,
bOSTv,Khan et al. (2017a),Refractive index,Liquid,AAirsR,CC(=O)[O-].N#CCCn1cc[nH+]c1,1-(2-cyanoethyl)imidazolium acetate,,,,,,,
gkidv,Khan et al. (2017a),Refractive index,Liquid,AApoCg,CS(=O)(=O)[O-].N#CCCn1cc[nH+]c1,1-(2-cyanoethyl)imidazolium methanesulfonate,,,,,,,
Lwzwp,Khan et al. (2017a),Refractive index,Liquid,ABEVdw,Cc1ccc(S(=O)(=O)[O-])cc1.N#CCCn1cc[nH+]c1,1-(2-cyanoethyl)imidazolium 4-methylbenzenesulfonate,,,,,,,
ZIGFF,Koralewski and Paprzycka (2023),Refractive index,Liquid,ABMocW,CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,1-butyl-3-methylimidazolium tetrachloroferrate,,,,,,,
xCwiz,Larriba et al. (2011),Refractive index,Liquid,ABEKef,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-ethyl-3-methyl-1H-imidazolium 1,1,2,2-tetrafluoroethane-1-sulfonate",,,,,,,
EVRIE,Larriba et al. (2011),Refractive index,Liquid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,,,,,
BxXGY,Larriba et al. (2013a),Refractive index,Liquid,ABenmT,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,,,,,
cEeke,Larriba et al. (2013a),Refractive index,Liquid,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,,,,
ucOQq,Lee et al. (2016),Refractive index,Liquid,ABRkia,C[N+](C)(C)CCO.O=S(=O)([O-])CC(O)CNC(CO)(CO)CO,"2-hydroxy-N,N,N-trimethylethanaminium 3-((1,3-dihydroxy-2-(hydroxymethyl)propan-2-yl)amino)-2-hydroxypropanesulfonate",,,,,,,
qaJWc,Lee et al. (2017),Refractive index,Liquid,ACBnAk,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,tetradecyl(trihexyl)phosphonium dicyanamide,,,,,,,
rcHVj,Lee et al. (2017),Refractive index,Liquid,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,,,,,
vWnQe,Li et al. (2013h),Refractive index,Liquid,AAcsqS,O=S(=O)(O)C(F)(F)F,trifluoromethylsulfonic acid,ABSUwp,CC[N+](CC)(CC)CC.F[Sb-](F)(F)(F)(F)F,tetraethylammonium hexafluoroantimonate,,,,
IIjlM,Li et al. (2013h),Refractive index,Liquid,AAcsqS,O=S(=O)(O)C(F)(F)F,trifluoromethylsulfonic acid,ABidZL,CCCCCCCC[N+](CC)(CC)CC.F[Sb-](F)(F)(F)(F)F,"N,N,N-triethyloctan-1-aminium hexafluorostibate",,,,
kgtsY,Malek et al. (2014b),Refractive index,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,,,,
bvgnV,Malek et al. (2014b),Refractive index,Liquid,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,,,,
uEaFm,Master and Malek (2020),Refractive index,Liquid,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,,,,,
DCtcc,Master and Malek (2020),Refractive index,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,,,,,
wVejN,Master and Malek (2020),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,,,,
xIgmZ,Montalban et al. (2018b),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AAeWCz,CCCC(=O)OC(C)CCC,1-methylbutyl butanoate,,,,
orBXY,Muhammad et al. (2008),Refractive index,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,,,,,,,
efJbr,Muhammad et al. (2008),Refractive index,Liquid,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,,
TtEzC,Muhammad et al. (2008),Refractive index,Liquid,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,,,,
aONVG,Murray et al. (2013),Refractive index,Liquid,ACOBHY,CCCCCCCC/C=C/CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-methyl-3-(9E)-9-octadecen-1-yl-1H-Imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,,,,,
MVcNT,Patel et al. (2016),Refractive index,Metastable liquid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,,,,
SlfKs,Patel et al. (2016),Refractive index,Liquid,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide,,,,,,,
VkDYH,Patel et al. (2016),Refractive index,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,,,,,,,
MRAUv,Pereiro et al. (2006b),Refractive index,Liquid,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,,,,
MRDSb,Queiros et al. (2020),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,,,,
eMsSl,Rocha et al. (2013a),Refractive index,Liquid,ABQHTW,CCCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-nonyl-3-methylimidazolium hexafluorophosphate,,,,,,,
iNkoD,Rocha et al. (2013a),Refractive index,Liquid,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,,,,
QZtDk,Rocha et al. (2013a),Refractive index,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,,,,
wLEcd,Rocha et al. (2013a),Refractive index,Liquid,ABFSRj,CCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-pentylimidazolium hexafluorophosphate,,,,,,,
zmaKx,Rocha et al. (2013a),Refractive index,Liquid,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,,,,,
NYINe,Rocha et al. (2013a),Refractive index,Liquid,ABKmJc,CCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-heptyl-3-methylimidazolium hexafluorophosphate,,,,,,,
VfnSO,Rodil et al. (2018),Refractive index,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,,,,,,,
VqACZ,Rodil et al. (2018),Refractive index,Liquid,ABriGF,CCCC[P+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Tributylmethylphosphonium bis[(trifluoromethyl)sulfonyl]imide,,,,,,,
mKSea,Rodil et al. (2018),Refractive index,Liquid,AAnYKa,COS(=O)(=O)[O-].C[n+]1ccccc1,1-methylpyridinium methylsulfate,,,,,,,
PjQyB,Rodil et al. (2018),Refractive index,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,,,,,
MjhIC,Rodrigues et al. (2016),Refractive index,Liquid,ABchCs,CC(C)C[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-isobutyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]amide,,,,,,,
RWpfd,Rodrigues et al. (2016),Refractive index,Liquid,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,,,,,
RtHyj,Rodrigues et al. (2016),Refractive index,Liquid,ABenlK,Cc1ccc[n+](CC(C)C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-isobutyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)imide,,,,,,,
ypeSQ,Rodrigues et al. (2016),Refractive index,Liquid,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,,
KcxJv,Rodrigues et al. (2016),Refractive index,Liquid,ABdMGT,CC(C)C[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-isobutyl-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)imide,,,,,,,
jZvFz,Rodrigues et al. (2016),Refractive index,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,,
DCmQi,Rodrigues et al. (2016),Refractive index,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,,
dfNAh,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,
CyMbW,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
GRkxR,Seoane et al. (2012c),Refractive index,Liquid,AAIsrh,CCO,ethanol,ABZxGx,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,
dcWSI,Shojaeian et al. (2021),Refractive index,Liquid,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,,,,,
SfVYE,Taib et al. (2011),Refractive index,Liquid,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,,,,,
qbqDH,Taib et al. (2012),Refractive index,Liquid,ABDCBp,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,,,,,
cNcrA,Tong et al. (2012b),Refractive index,Liquid,AAmQBR,CCC[n+]1ccn(C)c1.NCC(=O)[O-],1-propyl-3-methylimidazolium glycine,,,,,,,
nKUiG,Tong et al. (2012b),Refractive index,Liquid,AApAci,CCCC[n+]1ccn(C)c1.NCC(=O)[O-],1-butyl-3-methylimidazolium glycinate,,,,,,,
TbXqs,Ullah et al. (2015),Refractive index,Liquid,AAqmyw,CCCCn1cc[nH+]c1.O=S(=O)([O-])O,1-butylimidazolium hydrogen sulfate,,,,,,,
dqJBn,Ullah et al. (2015),Refractive index,Liquid,AAihdr,Cn1cc[nH+]c1.O=S(=O)([O-])O,1-methylimidazolium hydrogen sulfate,,,,,,,
lnAWO,Ullah et al. (2016),Refractive index,Liquid,ABcYiZ,Cn1c[n+](CCCCS(=O)(=O)O)c2ccccc21.O=S(=O)([O-])C(F)(F)F,3-methyl-1-(4-sulfobutyl)benzimidazolium trifluoromethanesulfonate,,,,,,,
NbJXJ,Ullah et al. (2016),Refractive index,Liquid,ABVbVM,Cn1c[n+](CCCCS(=O)(=O)O)c2ccccc21.O=C([O-])C(F)(F)F,3-methyl-1-(4-sulfobutyl)benzimidazolium trifluoroacetate,,,,,,,
