setid,reference,property,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sXBrZ,Meisel et al. (1976),Normal melting temperature,Crystal 1,ABZgNY,C(CCCCCCCCCCC)(=O)[O-].[Tl+],thallium(I) dodecanoate,,,,,,
rhcHd,Meisel et al. (1976),Normal melting temperature,Crystal,AAvxNH,O=C[O-].[Tl+],thallium methanoate,,,,,,
bFrde,Melo et al. (2012),Normal melting temperature,Crystal,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,,,
TcnnR,Melo et al. (2013),Normal melting temperature,Crystal 1,ABYfXZ,CC[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,,,,,,
xHqgx,Melo et al. (2013),Normal melting temperature,Crystal,ABWmVd,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.O=[N+]([O-])[O-],Didecyldimethylammonium nitrate,,,,,,
saizr,Meyer et al. (1991),Normal melting temperature,Crystal,AAnMlv,OCC[n+]1ccccc1.[Br-],1-(2-hydroxyethyl)pyridinium bromide,,,,,,
DjdKF,Mezzetta et al. (2019),Normal melting temperature,Crystal,ABSZqo,CCCCCCCCCCCCCCCC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium palmitate,,,,,,
AUxTd,Mezzetta et al. (2019),Normal melting temperature,Crystal,ABNFJD,CCCCCCCCCCCCCC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium tetradecanoate,,,,,,
ObeTV,Mezzetta et al. (2019),Normal melting temperature,Crystal,ABXucN,CCCCCCCCCCCCCCCCCC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium stearate,,,,,,
FKOKc,Mezzetta et al. (2019),Normal melting temperature,Crystal,ABQJsD,CCCCCCCCCCCCCC(=O)[O-].Cn1cc[n+](CCO)c1,1-(2-hydroxyethyl)-3-methylimidazolium myristate,,,,,,
mupAq,Mezzetta et al. (2019),Normal melting temperature,Crystal,ABVdnS,CCCCCCCCCCCCCCCC(=O)[O-].Cn1cc[n+](CCO)c1,1-(2-hydroxyethyl)-3-methylimidazolium palmitate,,,,,,
rDDbJ,Mezzetta et al. (2019),Normal melting temperature,Crystal,ABayMw,CCCCCCCCCCCCCCCCCC(=O)[O-].Cn1cc[n+](CCO)c1,1-(2-hydroxyethyl)-3-methylimidazolium stearate,,,,,,
JnzVi,Mezzetta et al. (2019),Normal melting temperature,Crystal,ABStQm,CCCCCCCCCCCCCC(=O)[O-].Cn1cc[n+](CCCO)c1,1-(3-hydroxypropyl)-3-methylimidazolium myristate,,,,,,
QItUK,Mezzetta et al. (2019),Normal melting temperature,Crystal,ABYOED,CCCCCCCCCCCCCCCC(=O)[O-].Cn1cc[n+](CCCO)c1,1-(3-hydroxypropyl)-3-methylimidazolium palmitate,,,,,,
tSDyA,Mezzetta et al. (2019),Normal melting temperature,Crystal,ABdiMR,CCCCCCCCCCCCCCCCCC(=O)[O-].Cn1cc[n+](CCCO)c1,1-(3-hydroxypropyl)-3-methylimidazolium stearate,,,,,,
ykhkj,Miao and Chan (2003),Normal melting temperature,Crystal,ABhTxB,C[n+]1ccn(CCOC(=O)c2ccc(I)cc2)c1.F[B-](F)(F)F,3-p-iodobenzoyloxyethyl-1-methylimidazolium tetrafluoroborate,,,,,,
BUVMb,Miao and Chan (2003),Normal melting temperature,Crystal,ABhTwj,C[n+]1ccn(CCOC(=O)c2cccc(I)c2)c1.F[B-](F)(F)F,3-m-iodobenzoyloxyethyl-1-methylimidazolium tetrafluoroborate,,,,,,
iXcjv,Mjalli et al. (2016),Normal melting temperature,Crystal,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,,,
TSdRg,Mod et al. (1967),Normal melting temperature,Crystal,ABFeqq,CCCCCCCCCCCC(=O)[O-].[NH3+]C1CCCCC1,dodecanoic acid cyclohexanamine salt (1:1),,,,,,
MMMon,Mod et al. (1967),Normal melting temperature,Crystal,ABIPDI,CCCCCCCCCCCCC(=O)[O-].[NH3+]C1CCCCC1,tridecanoic acid cyclohexylamine salt (1:1),,,,,,
NDzhW,Mod et al. (1967),Normal melting temperature,Crystal,ABVoVR,CCCCCCCCCCCCCCCCCC(=O)[O-].[NH3+]C1CCCCC1,octadecanoic acid cyclohexanamine salt (1:1),,,,,,
RJuyV,Mod et al. (1967),Normal melting temperature,Crystal,ABTEgB,CCCCCCCCCCCCCCCCC(=O)[O-].[NH3+]C1CCCCC1,heptadecanoic acid cyclohexanamine salt (1:1),,,,,,
cclxA,Mod et al. (1967),Normal melting temperature,Crystal,ABQUdR,CCCCCCCCCCCCCCCC(=O)[O-].[NH3+]C1CCCCC1,hexadecanoic acid cyclohexanamine salt (1:1),,,,,,
dVywK,Mod et al. (1967),Normal melting temperature,Crystal,ABKzvg,CCCCCCCCCCCCCC(=O)[O-].[NH3+]C1CCCCC1,tetradecanoic acid cyclohexanamine salt(1:1),,,,,,
zuwwC,Mod et al. (1967),Normal melting temperature,Crystal,ABAKJN,CCCCCCCCCC(=O)[O-].[NH3+]C1CCCCC1,decanoic acid cyclohexanamine salt (1:1),,,,,,
ArJNH,Monteiro et al. (2020),Normal melting temperature,Crystal,ACnvjZ,CCCCCCCC/C=C\CCCCCCCC(=O)[O-].CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,tetraoctylammonium oleate,,,,,,
tAYxb,Monteiro et al. (2020),Normal melting temperature,Crystal,AAuejh,CCCC[n+]1ccn(C)c1.COC(=O)C(=O)[O-],1-butyl-3-methylimidazolium 2-methoxy-2-oxoacetate,,,,,,
dChMy,Moore et al. (2019),Normal melting temperature,Crystal,AFHNfv,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSCCCn1cc[n+](CCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-bis(3-((3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio)propyl)-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)imide",,,,,,
oRFKC,Moore et al. (2019),Normal melting temperature,Crystal,AGwzVJ,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSCCC[n+]1ccn(CCCCCCCCCCn2cc[n+](CCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,1'-(decane-1,10-diyl)bis(3-(3-((3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio)propyl)-1H-imidazol-3-ium) bis((trifluoromethyl)sulfonyl)imide",,,,,,
BAPyX,Moore et al. (2019),Normal melting temperature,Crystal,ADNuXG,Cn1cc[n+](CCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3-(3-((3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio)propyl)-1-methyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)imide",,,,,,
YWnKG,Moore et al. (2019),Normal melting temperature,Crystal,AFBsFp,Cn1cc[n+](CC(CSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3-(2,3-bis((3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio)propyl)-1-methyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)imide",,,,,,
IATHT,Moore et al. (2019),Normal melting temperature,Crystal,AGbVrm,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSCCC[n+]1ccn(CCn2cc[n+](CCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,1'-(ethane-1,2-diyl)bis(3-(3-((3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio)propyl)-1H-imidazol-3-ium) bis((trifluoromethyl)sulfonyl)imide",,,,,,
ZFePJ,Morais et al. (2013),Normal melting temperature,Crystal,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
CTyjj,Morita et al. (2014),Normal melting temperature,Crystal,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,,,
wRHCU,Muhammad et al. (2012a),Normal melting temperature,Crystal,AAnYMY,CC(C)(C)C(=O)[O-].C[N+](C)(C)CCO,choline pivalate,,,,,,
BKWgN,Mukherjee et al. (2011),Normal melting temperature,Crystal,AAHGiC,[F-].[NH4+],ammonium fluoride,,,,,,
KDfie,Murray and Hill (1983),Normal melting temperature,Crystal,AAnsYk,CC1=CC(C)=[O+][Be-2]2(O1)OC(C)=CC(C)=[O+]2,"(t-4)-bis(2,4-pentanedionato-O,O')beryllium",,,,,,
dYYrz,Murray et al. (2013),Normal melting temperature,Crystal,ACOBHY,CCCCCCCC/C=C/CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-methyl-3-(9E)-9-octadecen-1-yl-1H-Imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,,,,
LLpZw,Murray et al. (2013),Normal melting temperature,Crystal,ACNhFN,CCCCC/C=C\C/C=C\CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-methyl-3-(9Z,12Z)-9,12-octadecadien-1-yl-1H-imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,,,,
UKzHv,Murray et al. (2013),Normal melting temperature,Crystal,ACOBoS,CCCCCCCC/C=C\CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-oleyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,,,,,,
NcBay,Musial et al. (2019b),Normal melting temperature,Crystal,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,,,,
yWkBO,Musial et al. (2019b),Normal melting temperature,Crystal,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
HcFbW,Musial et al. (2019b),Normal melting temperature,Crystal,ABJzqe,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-butyl-1-methylpyrrolidinium bis(fluorosulfonyl)amide,,,,,,
Cabgh,Mutch and Wilkes (1998),Normal melting temperature,Crystal,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,,,
SycAm,Nakamoto and Watanabe (2007),Normal melting temperature,Crystal,ABSjUk,CCCCCC[NH+](CCCCCC)CCCCCC.O=S(=O)([O-])O,trihexylammonium hydrogen sulfate,,,,,,
FrcYS,Nakamoto and Watanabe (2007),Normal melting temperature,Crystal,AAgwZl,CC[NH2+]CC.O=S(=O)([O-])O,diethylammonium hydrogen sulfate,,,,,,
nzXUp,Nakamoto and Watanabe (2007),Normal melting temperature,Crystal,AAgHOI,C1CC[NH2+]CC1.O=[PH]([O-])O,piperidinium hydrogen phosphonate,,,,,,
kHMDf,Nakamoto and Watanabe (2007),Normal melting temperature,Crystal,ABEqgr,CCCC[N+](C)(CCCC)CCCC.CS(=O)(=O)[O-],tributylmethylammonium methanesulfonate,,,,,,
qnXHS,Nakamoto and Watanabe (2007),Normal melting temperature,Crystal,AAoNOj,CC[NH+]1CCCCC1.CS(=O)(=O)[O-],N-ethylpiperidinium methanesulfonate,,,,,,
byszY,Nakamoto and Watanabe (2007),Normal melting temperature,Crystal,AAjMwZ,CC[NH+](C)CC.CS(=O)(=O)[O-],diethylmethylammonium methanesulfonate,,,,,,
jiceB,Nakamoto and Watanabe (2007),Normal melting temperature,Crystal,ABFKhu,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([O-])O,tributylmethylammonium hydrogen sulfate,,,,,,
RluCd,Nakamoto and Watanabe (2007),Normal melting temperature,Crystal,ABSrVf,CC[NH+](C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,diethylmethylammonium bis(trifluoromethylsulfonyl)imide,,,,,,
blSRE,Nakamoto and Watanabe (2007),Normal melting temperature,Crystal,ABQGeY,CC[NH+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,dimethylethylammonium bis(trifluoromethylsulfonyl)imide,,,,,,
MjgOM,Nakamoto and Watanabe (2007),Normal melting temperature,Crystal,ABcjFY,CCCCCC[NH+](CCCCCC)CCCCCC.O=S(=O)([O-])C(F)(F)F,trihexylammonium trifluoromethanesulfonate,,,,,,
lKWML,Nakamoto and Watanabe (2007),Normal melting temperature,Crystal,AAqwEP,CC[NH+](C)C.O=S(=O)([O-])C(F)(F)F,dimethylethylammonium trifluoromethanesulfonate,,,,,,
KJSBI,Nakamoto and Watanabe (2007),Normal melting temperature,Crystal,AAtgFT,CC[NH+](C)CC.O=S(=O)([O-])C(F)(F)F,diethylmethylammonium trifluoromethanesulfonate,,,,,,
OLtXv,Nakamoto and Watanabe (2007),Normal melting temperature,Crystal,AAygrA,CC[NH+]1CCCCC1.O=S(=O)([O-])C(F)(F)F,N-ethylpiperidinium trifluoromethanesulfonate,,,,,,
KKEbq,Nakamoto and Watanabe (2007),Normal melting temperature,Crystal,ABPKOF,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([O-])C(F)(F)F,tributylmethylammonium trifluoromethanesulfonate,,,,,,
hHBRB,Nakamoto and Watanabe (2007),Normal melting temperature,Crystal,AAbbgc,CC[NH3+].O=S(=O)([O-])O,ethylammonium hydrogen sulfate,,,,,,
uyOYS,Nakamoto and Watanabe (2007),Normal melting temperature,Crystal,AAmQWi,CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,,,,,,
fJJir,Nakayama et al. (1989),Normal melting temperature,Crystal,ABcGon,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.O=[N+]([O-])[O-],tetrahexylammonium nitrate,,,,,,
NOhOa,Nakayama et al. (1989),Normal melting temperature,Crystal,ABofoF,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[I-],tetrahexylammonium iodide,,,,,,
KVAWf,Nakayama et al. (1989),Normal melting temperature,Crystal,ABRRch,CCCCC[N+](CCCCC)(CCCCC)CCCCC.O=[N+]([O-])[O-],tetrapentylammonium nitrate,,,,,,
uVvvp,Nakayama et al. (1989),Normal melting temperature,Crystal,ABjRlX,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[O-]Cl(=O)(=O)=O,tetrahexylammonium perchlorate,,,,,,
zFfAI,Nakayama et al. (1989),Normal melting temperature,Crystal,ABYcyV,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[O-]Cl(=O)(=O)=O,tetrapentylammonium perchlorate,,,,,,
pIkFo,Nakayama et al. (1989),Normal melting temperature,Crystal,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,,,,
XrReu,Nakayama et al. (1989),Normal melting temperature,Crystal,ABCyFb,CCC[N+](CCC)(CCC)CCC.[O-]Cl(=O)(=O)=O,tetrapropylammonium perchlorate,,,,,,
UffFD,Neale et al. (2017),Normal melting temperature,Metastable crystal,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
DBSaw,Nemoto et al. (2015),Normal melting temperature,Crystal 1,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,,,,
mLlhL,Nemoto et al. (2015),Normal melting temperature,Crystal,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,,,,
lhxFV,Nemoto et al. (2015),Normal melting temperature,Crystal,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
yGuiS,Neves et al. (2010),Normal melting temperature,Crystal,AAzxzH,CCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-propylimidazolium hexafluorophosphate,,,,,,
BUdea,Neves et al. (2010),Normal melting temperature,Crystal,ABCDuL,CCCc1ccc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-propylpyridinium hexafluorophosphate,,,,,,
FmmFJ,Neves et al. (2013a),Normal melting temperature,Crystal 1,ABAcva,CCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-methyl-1-propylpyrrolidinium hexafluorophosphate,,,,,,
riXuT,Neves et al. (2013a),Normal melting temperature,Crystal 1,ABZoWG,CCCC[P+](CCCC)(CCCC)CCCC.F[P-](F)(F)(F)(F)F,tetrabutylphosphonium hexafluorophosphate,,,,,,
uazyW,Ngo et al. (2000),Normal melting temperature,Crystal,ABwrSG,CC[n+]1ccn(C)c1.O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-3-methyl-2,3-dihydro-1H-imidazol-1-ium tris[(trifluoromethyl)sulfonyl]methanide",,,,,,
AXOut,Ngo et al. (2000),Normal melting temperature,Crystal,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,,,
rqfsL,Ngo et al. (2000),Normal melting temperature,Crystal,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide,,,,,,
qVtCc,Ngo et al. (2000),Normal melting temperature,Crystal,AAtodn,CC[n+]1ccn(C)c1.[I-],1-ethyl-3-methylimidazolium iodide,,,,,,
NlIoj,Ngo et al. (2000),Normal melting temperature,Crystal,AAeuTF,CCCn1cc[n+](C)c1.[Cl-],1-methyl-3-propylimidazolium chloride,,,,,,
gBohs,Ngo et al. (2000),Normal melting temperature,Crystal,AAwYJq,CC(C)n1cc[n+](C)c1.[I-],1-methyl-3-(1-methylethyl)imidazolium iodide,,,,,,
CiKkG,Ngo et al. (2000),Normal melting temperature,Crystal,AAnWkd,CC[n+]1ccn(C)c1C.[Br-],"1-ethyl-2,3-dimethylimidazolium bromide",,,,,,
IqqDg,Ngo et al. (2000),Normal melting temperature,Crystal,AAhejA,CCCn1cc[n+](C)c1C.[Cl-],"1,2-dimethyl-3-propylimidazolium chloride",,,,,,
INhoR,Ngo et al. (2000),Normal melting temperature,Crystal,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,,,
KmStf,Ngo et al. (2000),Normal melting temperature,Crystal,ABAwPI,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,tetraethylammonium hexafluorophosphate,,,,,,
qdJYo,Ngo et al. (2000),Normal melting temperature,Crystal,AAxNbY,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluorophosphate,,,,,,
JwJrp,Ngo et al. (2000),Normal melting temperature,Crystal,AAzxzH,CCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-propylimidazolium hexafluorophosphate,,,,,,
nrdpo,Ngo et al. (2000),Normal melting temperature,Crystal,AAzxFa,CC(C)n1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-(1-methylethyl)imidazolium hexafluorophosphate,,,,,,
HHagF,Ngo et al. (2000),Normal melting temperature,Crystal,ABChRF,CCCn1cc[n+](C)c1C.F[P-](F)(F)(F)(F)F,"1,2-dimethyl-3-propylimidazolium hexafluorophosphate",,,,,,
mtgCU,Ngo et al. (2000),Normal melting temperature,Crystal,ABFkkK,CC[n+]1ccn(C)c1.F[As-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium hexafluoroarsenate,,,,,,
tQeRj,Ngo et al. (2000),Normal melting temperature,Crystal,ABwaLZ,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tetrabutylammonium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
BTxfn,Ngo et al. (2000),Normal melting temperature,Metastable crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
YxStC,Ngo et al. (2000),Normal melting temperature,Crystal,ABZxrn,CC(C)n1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-(1-methylethyl)imidazolium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
imFSv,Ngo et al. (2000),Normal melting temperature,Crystal,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,,,,
FUiqJ,Ngo et al. (2000),Normal melting temperature,Crystal,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,,,,
hmvag,Ngo et al. (2000),Normal melting temperature,Crystal,ABchfh,Cc1c(C)[n+](C)c(C)n1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2,3,4,5-pentamethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,,,,
zBnXQ,Ngo et al. (2000),Normal melting temperature,Crystal,ABuISo,CC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,tetraethyammonium bis[(pentafluoroethyl)sulfonyl]imide,,,,,,
eVvci,Ngo et al. (2000),Normal melting temperature,Crystal,ABqZuM,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",,,,,,
aliuk,Ngo et al. (2000),Normal melting temperature,Crystal,ABtJmw,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(pentafluoroethyl)sulfonyl]imide",,,,,,
RGutw,Ngo et al. (2000),Normal melting temperature,Crystal,ACAGfi,CC[N+](CC)(CC)CC.O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,tetraethylammonium tris[(trifluoromethyl)sulfonyl]methide,,,,,,
dCJIf,Ngo et al. (2000),Normal melting temperature,Crystal,ACVkeQ,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,tetrabutylammonium tris[(trifluoromethyl)sulfonyl]methide,,,,,,
FGZhJ,Nishida et al. (2003),Normal melting temperature,Crystal,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,,,
BZoIZ,Nishida et al. (2003),Normal melting temperature,Crystal,AAonnS,CCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-propyl-3-methylimidazolium tetrafluoroborate,,,,,,
vAdBW,Nishikawa et al. (2007),Normal melting temperature,Crystal,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,,,
FjBBX,Nishikawa et al. (2007),Normal melting temperature,Crystal 1,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
DPuss,Noda et al. (2001),Normal melting temperature,Crystal,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
tzkFQ,Noda et al. (2001),Normal melting temperature,Crystal,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,,,
qoeeo,Noda et al. (2001),Normal melting temperature,Crystal,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,,,
kvXLE,Noda et al. (2001),Normal melting temperature,Metastable crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
nVStJ,Okuniewska et al. (2014),Normal melting temperature,Crystal,ABHEeK,Cn1cc[n+](CC#N)c1.N#Cc1nc(C(F)(F)F)[n-]c1C#N,"1-(cyanomethyl)-3-methylimidazolium 4,5-dicyano-2-(trifluoromethyl)imidazolide",,,,,,
BAJEa,Okuniewska et al. (2014),Normal melting temperature,Crystal,ABrEZX,CCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-hexylisoquinolinium bis(trifluoromethylsulfonyl)imide,,,,,,
mUNle,Okuniewska et al. (2014),Normal melting temperature,Crystal,ABrEfh,CCCCCC[n+]1cccc2ccccc21.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexylquinolinium bis(trifluoromethylsulfonyl)amide,,,,,,
hgRPL,Okuniewska et al. (2014),Normal melting temperature,Crystal,ABabQc,CC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide,,,,,,
eTBIf,Okuniewska et al. (2014),Normal melting temperature,Crystal,ABHEeK,Cn1cc[n+](CC#N)c1.N#Cc1nc(C(F)(F)F)[n-]c1C#N,"1-(cyanomethyl)-3-methylimidazolium 4,5-dicyano-2-(trifluoromethyl)imidazolide",,,,,,
