setid,"Normal melting temperature, K",reference,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LEbbY,536.6,Rosenfarb et al. (1976),Crystal,ACMFkq,CCCC[N+](CCC(C)C)(CCC(C)C)CCC(C)C.c1ccc([B-](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,butyltriisoamylammonium tetraphenylborate,,,,,,
WVqMK,329.3,Domanska et al. (2009e),Crystal,ABPKxB,CCCCCC[n+]1cccc(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,1-hexyl-3-methylpyridinium 4-methylbenzenesulfonate,,,,,,
PJLVX,313.1,Greaves et al. (2006),Crystal,AAbbgc,CC[NH3+].O=S(=O)([O-])O,ethylammonium hydrogen sulfate,,,,,,
HuaZO,385.1,Krolikowska et al. (2018),Crystal,AArZTv,CCCC[N+](C)(C)CCO.[Br-],"N-(2-hydroxyethyl)-N,N-dimethylbutanaminium bromide",,,,,,
iLroJ,371.1,Guo et al. (2015),Crystal,ABxKKq,Cn1cc[n+](CCOCC[n+]2ccn(C)c2)c1.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,"1,1'-(oxybis(ethane-2,1-diyl))bis(3-methylimidazolium) hexafluorophosphate",,,,,,
mKFpB,477,Stolarska et al. (2016),Crystal,AAqlQM,CCCC[N+]1(C)CCCC1.[Br-],1-butyl-1-methylpyrrolidinium bromide,,,,,,
dovKa,355.1,El Bourakadi et al. (2019),Crystal,ABnrum,CCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=S(=O)([O-])C(F)(F)F,3-methyl-1-octyl-2-(thiazol-4-yl)benzimidazolium trifluoromethanesulfonate,,,,,,
GpXEi,338.1,Haddad et al. (2018),Crystal,ADDSfK,Cn1cc[n+](Cc2ccc(C[n+]3ccn(C)c3)cc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3,3'-(1,4-phenylenebis(methylene))bis(1-methyl-1H-imidazol-3-ium) bis((trifluoromethyl)sulfonyl)amide",,,,,,
lTQVb,223.1,Gao et al. (2004),Crystal,AAnYOh,CC(O)C(=O)[O-].CN(C)C(=[NH2+])N(C)C,"1,1,3,3-tetramethylguanidinium lactate",,,,,,
NzUsl,365.1,Elias and Strecker (1966),Crystal,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,,,,,,
noLIx,314.15,Gao et al. (2004),Crystal,AAzAtb,CN(C)C(=[NH2+])N(C)C.O=S(=O)([O-])C(F)(F)F,"1,1,3,3-tetramethylguanidinium trifluoromethanesulfonate",,,,,,
ARlVm,276.2,Hazrati et al. (2017),Crystal,ABsrrg,CCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,,,,,,
auIhk,310.1,Fredlake et al. (2004),Crystal,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,,,,
FuFhL,337.76,Domanska et al. (2012b),Crystal,ABKxdb,CCCCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylpyridinium trifluoromethanesulfonate,,,,,,
RnNRm,311.1,Sakizadeh et al. (2007),Crystal,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,,,,
xFRrn,343.1,Sakizadeh et al. (2007),Crystal,AAoGVG,Cn1cc[n+](Cc2ccccc2)c1.[Cl-],1-benzyl-3-methyl-1H-imidazolium chloride,,,,,,
nwLls,288.1,Sakizadeh et al. (2007),Crystal,ABcrxE,CCCCCCCC/C=C\CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-oleylimidazolium tetrafluoroborate,,,,,,
cmhbQ,276.1,Walst et al. (2015),Crystal,ADLIaY,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(CCCCCC)CCCCCC)1c(N(CCCCCC)CCCCCC)[c+]1N(CCCCCC)CCCCCC,tris(dihexylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
ctYRW,315.98,Fernandez et al. (2017),Crystal,AAkoLe,CCCC(=O)[O-].C[N+](C)(C)CCO,choline butanoate,,,,,,
vNoYM,380,Yamamoto et al. (2017),Crystal,AAqIKq,O=S(=O)(F)[N-]S(=O)(=O)F.[K+],potassium bis(fluorosulfonyl)amide,,,,,,
MvbCr,418.4,Ozdemir and Ozgun (2014),Crystal,ABAkXH,Cc1cc(C)[n+](-c2ccccc2)n1C.F[B-](F)(F)F,"1-phenyl-2,3,5-trimethylpyrazolium tetrafluoroborate",,,,,,
AMrrn,279.79,Zhang et al. (2007b),Crystal 1,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,,,,
NFjoz,467.44,Zinigrad et al. (2005),Crystal,AAdLRX,F[P-](F)(F)(F)(F)F.[Li+],lithium hexafluorophosphate,,,,,,
mupAq,335.6,Mezzetta et al. (2019),Crystal,ABVdnS,CCCCCCCCCCCCCCCC(=O)[O-].Cn1cc[n+](CCO)c1,1-(2-hydroxyethyl)-3-methylimidazolium palmitate,,,,,,
wSfaF,299.1,Tokuda et al. (2006b),Crystal,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
yUJrP,334.1,El Bourakadi et al. (2019),Crystal,ABnOFC,CCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-],3-methyl-1-tetradecyl-2-(thiazol-4-yl)benzimidazolium nitrate,,,,,,
WEXqH,351.1,Salminen et al. (2007),Crystal,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,,,,,,
NYmBs,345.15,Zhang et al. (2007a),Crystal 1,ABEnam,C[n+]1ccn(CCCC#N)c1.F[P-](F)(F)(F)(F)F,1-butyronitrile-3-methylimidazolium hexafluorophosphate,,,,,,
vAdBW,350.8,Nishikawa et al. (2007),Crystal,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,,,
KHiPO,375.1,Kollau (2019),Crystal,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,,,,
CHACh,509,Zhou et al. (2010a),Crystal,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,,,,
zVAQC,299.1,Tokuda et al. (2006a),Crystal,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
seFtO,293.1,Zhou et al. (2005),Crystal,ABgkir,CC[N+](CC)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N,N-triethyl-2-methoxyethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",,,,,,
byszY,283.8,Nakamoto and Watanabe (2007),Crystal,AAjMwZ,CC[NH+](C)CC.CS(=O)(=O)[O-],diethylmethylammonium methanesulfonate,,,,,,
PhKfR,384,Liu et al. (2020e),Crystal,ABuGZK,C[n+]1ccn(CCCCn2cc[n+](C)c2)c1.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,"3,3'-(butane-1,4-diyl)bis(1-methyl-1H-imidazolium) hexafluorophosphate(V)",,,,,,
kqRPP,314.1,Holbrey et al. (2003b),Metastable crystal,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,,,,
tFIMR,266,Bernardino et al. (2019),Crystal 1,AAiEIE,CC[n+]1ccn(C)c1.N#C[N-]C#N,1-ethyl-3-methylimidazolium dicyanamide,,,,,,
hGmzd,333.1,El Bourakadi et al. (2019),Crystal,ABsCJT,CCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F,3-methyl-1-tetradecyl-2-(thiazol-4-yl)benzimidazolium tetrafluoroborate,,,,,,
JwyPM,269.1,Walst et al. (2015),Crystal,ACJKPs,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.c(N(CC)CC)1c(N(CC)CC)[c+]1N(CCCC)CCCC,bis(diethylamino)(dibutylamino)cyclopropenium bis(trifluoromethanesulfonyl)amide,,,,,,
DQShK,298.1,Fredlake et al. (2004),Crystal,ABZxnD,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,,,,
tVLZM,342.35,Zhang et al. (2007a),Crystal,AAjGTr,N#CCCC[n+]1ccccc1.[Cl-],N-butyronitrile pyridinium chloride,,,,,,
yFhTq,239.96,Zheng et al. (2016b),Crystal,AAhaEl,CC[n+]1ccccc1.N#C[N-]C#N,1-ethylpyridinium dicyanamide,,,,,,
nVMvJ,377.15,De Gaetano et al. (2015),Crystal,ABVTJu,CCCCCCCCCCCCOC(=O)C[N+](C)(C)C.CS(=O)(=O)[O-],"2-(dodecyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium methanesulfonate",,,,,,
GaqNT,329.1,Zhou et al. (2005),Crystal,AAvaLy,CC[N+](CC)(CC)CCOC.F[B-](F)(F)F,"N,N,N-triethyl-2-methoxyethan-1-aminium tetrafluoroborate",,,,,,
BZbdf,279.16,Domanska et al. (2008b),Crystal,ABYfXZ,CC[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ethyl(2-hydroxyethyl)dimethylammonium bis{(trifluomethyl)sulfonyl}imide,,,,,,
sSweN,358.3,Liu et al. (2020e),Crystal,ABVFNt,Cc1[nH+]ccn1CCCCn1cc[nH+]c1C.[Br-].[Br-],"1,1'-(butane-1,4-diyl)bis(2-methylimidazolium) bromide",,,,,,
KzWGm,311.1,Ramdin et al. (2012),Crystal,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,,,,,,
rDDbJ,339.4,Mezzetta et al. (2019),Crystal,ABayMw,CCCCCCCCCCCCCCCCCC(=O)[O-].Cn1cc[n+](CCO)c1,1-(2-hydroxyethyl)-3-methylimidazolium stearate,,,,,,
ZWXTJ,327.13,Pereiro et al. (2013),Crystal,ACAHIE,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,tetrabutylammonium perfluorobutanesulfonate,,,,,,
dYYrz,289.2,Murray et al. (2013),Crystal,ACOBHY,CCCCCCCC/C=C/CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-methyl-3-(9E)-9-octadecen-1-yl-1H-Imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,,,,
XNmdI,306.1,Arce et al. (2007c),Crystal,ACqwtJ,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
czJna,361.35,Li et al. (2013h),Crystal,ABAbgR,CCCCCC[N+](CC)(CC)CC.F[B-](F)(F)F,"N,N,N-triethyl-N-hexylammonium tetrafluoroborate",,,,,,
rVFdl,364.1,Xue et al. (2004),Crystal,AAjZhA,NN1C=[NH+]C=N1.[O-]Cl(=O)(=O)=O,"1-amino-1H-1,2,4-triazol-1-ium perchlorate",,,,,,
esocG,286.05,Er and Wang (2016),Crystal,ABDDJL,CCCCC(CC)C[NH2+]CCN.O=C([O-])C(F)(F)F,N-(2-ethylhexyl)ethylenediammonium trifluoroacetate,,,,,,
YHWKj,255.7,Stejfa et al. (2022),Metastable crystal,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
NwVIO,240.2,Hachicha et al. (2019),Crystal,AAiinz,C=CC[N+](C)(C)CC.N#C[N-]C#N,"N-ethyl-N,N-dimethylprop-2-en-1-aminium dicyanamide",,,,,,
QnabJ,358.1,Wilkes et al. (1982),Crystal,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,,,
Rouzr,360.1,Papaiconomou et al. (2010),Crystal,ABRZYD,CCCCCCCC[n+]1cc(CC)ccc1C.[I-],5-ethyl-2-methyl-1-octylpyridinium iodide,,,,,,
tZgRS,288,Vila et al. (2012),Crystal,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,,,
McUCn,507.1,Henderson et al. (2012),Crystal 1,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,,,,
yXgVR,399.15,Coker et al. (1970),Crystal 1,ABuGqR,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[O-]Cl(=O)(=O)=O,"N,N,N-triheptylheptan-1-aminium perchlorate",,,,,,
CeXaU,357.1,De Gaetano et al. (2015),Crystal,ABWLcy,CCCCCCCCCCCCOC(=O)C[N+](C)(C)C.[O-]Cl(=O)(=O)=O,"2-(dodecyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium perchlorate",,,,,,
vRghi,328.1,Sakizadeh et al. (2007),Crystal,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,,,,,,
UKzHv,252.3,Murray et al. (2013),Crystal,ACOBoS,CCCCCCCC/C=C\CCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-oleyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,,,,,,
aZeaD,254.2,Yasuda et al. (2013),Crystal,AAyMEa,C=CC[NH+](C)CC=C.O=S(=O)([O-])C(F)(F)F,N-allyl-N-methylprop-2-en-1-aminium trifluoromethanesulfonate,,,,,,
BUdea,311.2,Neves et al. (2010),Crystal,ABCDuL,CCCc1ccc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-propylpyridinium hexafluorophosphate,,,,,,
rTCeO,359.3,Jia et al. (2015),Crystal,ABUxeZ,CCCCCCC[n+]1csc2ccccc21.F[P-](F)(F)(F)(F)F,3-heptylbenzo[d]thiazol-3-ium hexafluorophosphate,,,,,,
Zficm,358.1,Galvez-Ruiz et al. (2005),Crystal,AAqbbL,Cn1nnn(N)c1=[NH2+].O=[N+]([O-])[N-][N+](=O)[O-],"1,5-diamino-4-methyl-1H-tetrazolium dinitramide",,,,,,
LFvMO,258.1,Tokuda et al. (2006b),Crystal,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
JtKVO,285.1,Katsuta et al. (2010),Crystal,ABdMCc,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpiperidinium bis(trifluoromethylsulfonyl)imide,,,,,,
JJQvx,527.1,Krolikowska et al. (2018),Crystal,AAoVSq,C[N+]1(CCO)CCCC1.[Br-],N-methyl-N-(2-hydroxyethyl)pyrrolidinium bromide,,,,,,
GcHEv,399.4,Koel (2000),Crystal,AAZZTL,Cn1cc[n+](C)c1.[Cl-],"1,3-dimethylimidazolium chloride",,,,,,
EgkCM,290.1,Katsuta et al. (2010),Crystal,ABfRBe,CCCn1c(C)cc(C)[n+]1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2,3,5-trimethyl-1-propyl-1H-pyrazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,,,,
HIVXA,395,Stolarska et al. (2018),Crystal,AAkIgT,CC[n+]1ccccc1.[Br-],1-ethylpyridinium bromide,,,,,,
XWqBm,255,Gomez et al. (2013),Metastable crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
BEDvQ,255.2,Tokuda et al. (2006b),Metastable crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
qnXHS,340.8,Nakamoto and Watanabe (2007),Crystal,AAoNOj,CC[NH+]1CCCCC1.CS(=O)(=O)[O-],N-ethylpiperidinium methanesulfonate,,,,,,
xWjox,371.1,Kondratenko et al. (2021),Crystal,ABXSBa,CC(O)C[NH+](CC(C)O)CC(C)O.Cc1cc(Cl)ccc1OCC(=O)[O-],tris(2-hydroxypropyl)ammonium 2-methyl-4-chlorophenoxyacetate,,,,,,
ltagO,384.5,Pereiro et al. (2011),Crystal,AAjkra,CCCC[n+]1cccc(C)c1.[Cl-],1-butyl-3-methylpyridinium chloride,,,,,,
qGypx,251.5,Ferreira et al. (2020),Crystal,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,,,,,,
oQWQm,331.1,Ahmed et al. (2018),Crystal,ABQJqf,CCCC[P+](CCCC)(CCCC)CCCC.CS(=O)(=O)[O-],tetrabutylphosphonium methanesulfonate,,,,,,
HHagF,351.1,Ngo et al. (2000),Crystal,ABChRF,CCCn1cc[n+](C)c1C.F[P-](F)(F)(F)(F)F,"1,2-dimethyl-3-propylimidazolium hexafluorophosphate",,,,,,
CkmkG,280.1,Salminen et al. (2007),Crystal,ABabds,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
IIbfD,294,Khan et al. (2017a),Crystal,AAihdr,Cn1cc[nH+]c1.O=S(=O)([O-])O,1-methylimidazolium hydrogen sulfate,,,,,,
WGOah,300.85,Funasako et al. (2012),Crystal,ACXVnp,CCCCCC[c-]1c(C)c(C)c(C)c1C.Cc1[cH-]c(C)c(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Fe+3],"1-hexyl-1',2,2',3,3',4,4',5-octamethylferrocenium bis(trifluoromethylsulfonyl)amide",,,,,,
OJFfx,323.1,Thoppil et al. (2020),Crystal,ABTsnC,CCCCCCCCCCCCCCCC(=O)[O-].CCCC[NH2+]CCO,N-butylethanolammonium palmitate,,,,,,
wQqqO,291.45,Er et al. (2019),Crystal,ABdqsP,CCCCCC[NH2+]CCN.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(2-aminoethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)amide,,,,,,
sgdPQ,259.1,Yambou et al. (2020),Crystal,ABEAsp,CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,,,,,,
vJAJa,305.2,Le et al. (2015),Crystal,ABdgWP,CCCCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,hexyltrimethylammonium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
MDYnu,347.1,Serbanovic et al. (2010),Crystal,ABzrty,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.Cc1ccc(S(=O)(=O)[O-])cc1,trioctylmethylammonium tosylate,,,,,,
nJyjf,252.2,Dzyuba and Bartsch (2002a),Metastable crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
gaWFv,474.6,Li et al. (2018f),Crystal,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,,,,
YjuYq,474,Yang et al. (2019f),Crystal 1,ABEfYI,CC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,N-ethyl-N-methylpyrrolidinium bis(fluorosulfonyl)amide,,,,,,
geitp,354,Ferrara et al. (2017),Crystal,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,,,,
klTPt,324.86,Domanska et al. (2009d),Crystal,ABJqRL,CCCC[n+]1ccc(C)cc1.Cc1ccc(S(=O)(=O)[O-])cc1,N-butyl-4-methylpyridinium tosylate,,,,,,
gOTCk,502.4,Abranches et al. (2019),Crystal,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,,,,,,
jkXKh,272.8,Liu et al. (2010b),Crystal,ABenjQ,CCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-pentylpyridinium bis(trifluoromethylsulfonyl)amide,,,,,,
JVdsn,305.65,Fernandez et al. (2017),Crystal,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,,,,
TVzeK,292.6,Cai et al. (2020b),Crystal,ABVwkM,CCCCCCCC[n+]1ccc(N(C)C)cc1.O=S(=O)([O-])C(F)(F)F,1-octyl-4-(dimethylamino)pyridinium trifluoromethanesulfonate,,,,,,
mIEon,306,Fillion et al. (2016),Crystal,ABBlsi,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])c1cn[n-]c1,1-hexyl-3-methylimidazolium 4-nitropyrazolide,,,,,,
DtHlx,256,Wachter et al. (2010),Metastable crystal,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,,,,
DPuss,299,Noda et al. (2001),Crystal,ABcDLM,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,,,,,,
bOOhb,362.1,Berger and Bircher (2005),Crystal,AAtxBt,O=[N+]([O-])[N-][N+](=O)[O-].[Cs+],cesium dinitramide,,,,,,
aliuk,298.1,Ngo et al. (2000),Crystal,ABtJmw,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"1-ethyl-2,3-dimethylimidazolium bis[(pentafluoroethyl)sulfonyl]imide",,,,,,
xDsXo,373.35,Funasako et al. (2012),Crystal,ABooYG,N#C[C-](C#N)[C](C#N)C#N.CCCC[c-]1c(C)c(C)c(C)c1C.[cH-]1c(C)c(C)c(C)c1C.[Fe+3],"1-butyl-1',2,2',3,3',4,4',5-octamethylferrocenium tetracyanoethylenide",,,,,,
oPtGX,346.1,Hu et al. (2011),Crystal,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,,,,,,
SRbEw,263,Fillion et al. (2016),Crystal,ABgaoQ,CCCC[S+]1CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylthianium bis(trifluoromethylsulfonyl)imide,,,,,,
gjqXa,326.6,Aljuhani et al. (2019),Crystal,ABvNnc,Cc1cc[n+](CC(=O)Nc2ccc(I)cc2F)cc1.F[P-](F)(F)(F)(F)F,1-(2-((2-fluoro-4-iodophenyl)amino)-2-oxoethyl)-4-methylpyridin-1-ium hexafluorophosphate,,,,,,
YtyFD,280,Vila et al. (2012),Crystal,ABHhVu,CCCCCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-decyl-3-methylimidazolium tetrafluoroborate,,,,,,
BNwFo,343.1,Papaiconomou et al. (2006),Crystal,ABiVCF,CCCC[n+]1ccc(C)cc1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1-butyl-4-methylpyridinium 1,1,2,2,3,3,4,4,4-nonafluoro-1-butanesulfonate",,,,,,
eyBVI,368.1,Kondratenko et al. (2021),Crystal,ABsOVb,CC(O)C[NH+](CC(C)O)CC(C)O.CC(O)C[NH+](CC(C)O)CC(C)O.O=C([O-])CCC(=O)[O-],tris(2-hydroxypropyl)ammonium succinate,,,,,,
SpXVB,388.75,Ozdemir and Ozgun (2017),Crystal,ABRiKh,COc1ccc(-[n+]2c(C)cc(C)n2C)cc1.F[P-](F)(F)(F)(F)F,"2,3,5-trimethyl-1-(4-methoxyphenyl)-pyrazolium hexafluorophosphate",,,,,,
AUxTd,318.4,Mezzetta et al. (2019),Crystal,ABNFJD,CCCCCCCCCCCCCC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium tetradecanoate,,,,,,
dJBfd,411.45,Ozdemir and Ozgun (2017),Crystal,ABOeyq,Cc1ccc(-[n+]2c(C)cc(C)n2C)cc1.F[P-](F)(F)(F)(F)F,"1-(4-methylphenyl)-2,3,5-trimethylpyrazolium hexafluorophosphate",,,,,,
GmNzx,355.1,Papaiconomou et al. (2010),Crystal,ABOoJO,CCCCCCCC[n+]1cc(C)cc(C)c1.[I-],"3,5-dimethyl-1-octylpyridinium iodide",,,,,,
JWHUh,284.1,Yambou et al. (2020),Crystal,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,,,,,,
uIkgS,357.1,Brown et al. (2022),Crystal 1,AAULnp,CC(=O)[O-].CC[NH3+],ethylammonium acetate,,,,,,
EsNtp,270.4,Shimizu et al. (2012),Crystal,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
IEbaB,264.4,Domanska et al. (2016d),Crystal,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,,,,
VhnPS,370.6,Kollau (2019),Crystal,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,,,,
HUzrR,326.1,Serbanovic et al. (2010),Crystal,ABvoks,CCCCCCCCCCCC[N+](CCCCCCCCCCCC)=C(N(C)C)N(C)C.N#C[N-]C#N,didodecyltetramethylguanidinium dicyanamide,,,,,,
twlZG,316.1,Fadeeva et al. (2020),Crystal,ABRszH,Cn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,,,,
